1,Raegan.Olson,Graham.Beer,601,1,9.99,invoice,Hatchback, 2023-12-3,未完成
2,Kelly36,Larissa54,109,1,9.44,withdrawal,Extended Cab Pickup, 2023-11-3,未完成
3,Jena35,Isaias_Ratke,999,5,7.15,payment,SUV, 2023-11-3,未完成
4,Raven50,Joaquin59,765,0,5.45,payment,Hatchback, 2023-11-3,未完成
5,Colton_Okuneva,Tyshawn_Tillman28,374,5,6.28,deposit,Coupe, 2023-11-3,未完成
6,Christian_Quigley,Alejandrin.Will37,302,0,8.04,payment,Hatchback, 2023-11-3,未完成
7,Florence_Gibson95,Neha.Renner8,123,1,8.91,invoice,Crew Cab Pickup, 2023-11-3,未完成
8,Ernest.Kihn78,Larissa16,93,3,9.29,deposit,Passenger Van, 2023-11-3,未完成
9,Joyce14,Hollie.Jacobi45,409,3,6.42,payment,SUV, 2023-11-3,未完成
10,Richard27,Wilford_Yundt81,103,5,7.47,invoice,Crew Cab Pickup, 2023-11-3,未完成
11,Mason.Dooley64,Mozelle56,904,5,9.98,deposit,Extended Cab Pickup, 2023-11-3,未完成
12,Serenity.Rempel,Assunta_Lowe13,406,2,5.73,withdrawal,SUV, 2023-11-3,未完成
13,Susana_Littel,Angel.Abbott73,202,2,9.53,withdrawal,Passenger Van, 2023-11-3,未完成
14,Tomas39,Ila3,237,2,9.45,invoice,Convertible, 2023-11-3,未完成
15,Felipa.Bode,Dalton_Hane48,691,1,8.25,payment,Convertible, 2023-09-3,未完成
16,Nikolas_Stehr96,Flavie_Kihn19,711,4,6.74,deposit,Minivan, 2023-09-3,未完成
17,Rosalia21,Edd15,38,5,7.07,deposit,Crew Cab Pickup, 2023-09-3,未完成
18,Rafael69,Ethyl_Jaskolski-Witting,475,5,9.57,invoice,Crew Cab Pickup, 2023-09-3,未完成
19,Jaeden_Kuphal55,Emelia_Fritsch11,461,4,5.81,withdrawal,Wagon, 2023-09-3,未完成
20,Wanda.Johns89,Titus47,163,4,8.89,invoice,Sedan, 2023-09-3,未完成
21,Daryl.Davis17,Savion48,29,1,9.46,deposit,SUV, 2023-09-3,未完成
22,Lucio.Macejkovic98,Randi_Bashirian,124,4,5.12,payment,Wagon, 2023-09-3,未完成
